ItemIdentifier,ItemWeight,ItemFatContent,ItemVisibility,ItemType,ItemMRP,OutletIdentifier,OutletSize,OutletLocationType,OutletType,YearsSinceEstablishment
FDW58,20.75,1,0.007564836,1,107.8622,OUT049,2,Tier 1,Supermarket Type1,25
FDH56,9.8,2,0.063817206,2,117.1492,OUT046,1,Tier 1,Supermarket Type1,27
FDL48,19.35,2,0.082601537,5,50.1034,OUT018,2,Tier 3,Supermarket Type2,15
FDU11,4.785,1,0.092737611,9,122.3098,OUT049,2,Tier 1,Supermarket Type1,25
DRL59,16.75,1,0.021206464,8,52.0298,OUT013,3,Tier 3,Supermarket Type1,37
FDM24,6.135,2,0.0794507,5,151.6366,OUT049,2,Tier 1,Supermarket Type1,25
DRC12,17.85,1,0.037980963,8,192.2188,OUT018,2,Tier 3,Supermarket Type2,15
FDA31,7.1,1,0.109920138,2,175.008,OUT013,3,Tier 3,Supermarket Type1,37
NCJ31,19.2,1,0.182619235,12,239.9196,OUT035,1,Tier 2,Supermarket Type1,20
FDG52,13.65,1,0.065630844,4,47.7402,OUT046,1,Tier 1,Supermarket Type1,27
FDS10,19.2,1,0.035178935,1,180.7318,OUT035,1,Tier 2,Supermarket Type1,20
NCF19,13.0,1,0.035102094,3,47.6034,OUT035,1,Tier 2,Supermarket Type1,20
NCE06,5.825,1,0.091485232,3,161.3894,OUT046,1,Tier 1,Supermarket Type1,27
DRC27,13.8,1,0.058102469,6,244.6802,OUT046,1,Tier 1,Supermarket Type1,27
FDE21,12.8,1,0.022940349,2,116.5492,OUT035,1,Tier 2,Supermarket Type1,20
FDX51,9.5,2,0.022148582,7,194.9452,OUT018,2,Tier 3,Supermarket Type2,15
NCR06,12.5,1,0.006792707,3,42.4112,OUT018,2,Tier 3,Supermarket Type2,15
NCD54,21.1,1,0.029127115,3,143.3786,OUT018,2,Tier 3,Supermarket Type2,15
NCL19,15.35,1,0.015740089,12,144.847,OUT018,2,Tier 3,Supermarket Type2,15
FDC26,10.195,1,0.126277921,12,112.1886,OUT013,3,Tier 3,Supermarket Type1,37
NCS41,12.85,1,0.053433908,2,183.2608,OUT035,1,Tier 2,Supermarket Type1,20
FDF41,12.15,1,0.131155007,4,248.146,OUT035,1,Tier 2,Supermarket Type1,20
FDU34,18.25,1,0.075194929,1,124.9046,OUT046,1,Tier 1,Supermarket Type1,27
DRH11,5.98,1,0.075557965,8,57.0614,OUT046,1,Tier 1,Supermarket Type1,27
FDM03,12.65,1,0.122928415,7,106.6938,OUT013,3,Tier 3,Supermarket Type1,37
FDG02,7.855,1,0.011278673,12,188.8188,OUT049,2,Tier 1,Supermarket Type1,25
FDA09,13.35,2,0.0,1,179.666,OUT013,3,Tier 3,Supermarket Type1,37
FDT04,17.25,1,0.106952661,4,38.3822,OUT013,3,Tier 3,Supermarket Type1,37
FDW12,8.315,2,0.035565457,5,144.8444,OUT035,1,Tier 2,Supermarket Type1,20
NCL06,14.65,1,0.072066634,3,262.5594,OUT046,1,Tier 1,Supermarket Type1,27
FDI35,14.0,1,0.041256807,10,181.2634,OUT013,3,Tier 3,Supermarket Type1,37
NCX06,17.6,1,0.015711434,3,180.0976,OUT049,2,Tier 1,Supermarket Type1,25
FDZ14,7.71,2,0.047782552,6,122.3756,OUT018,2,Tier 3,Supermarket Type2,15
DRG49,7.81,1,0.067560171,8,245.2486,OUT049,2,Tier 1,Supermarket Type1,25
FDB53,13.35,1,0.139452413,4,148.6392,OUT046,1,Tier 1,Supermarket Type1,27
FDA14,16.1,1,0.065128984,6,145.176,OUT013,3,Tier 3,Supermarket Type1,37
DRC24,17.85,1,0.024816585,8,152.6998,OUT035,1,Tier 2,Supermarket Type1,20
FDW21,5.34,2,0.005988175,1,100.6358,OUT018,2,Tier 3,Supermarket Type2,15
NCH29,5.51,1,0.034473804,2,97.3726,OUT046,1,Tier 1,Supermarket Type1,27
FDU58,6.61,2,0.028987582,1,188.6898,OUT013,3,Tier 3,Supermarket Type1,37
FDV56,16.1,2,0.013593151,2,108.9596,OUT035,1,Tier 2,Supermarket Type1,20
FDT59,13.65,1,0.015911432,9,230.5668,OUT046,1,Tier 1,Supermarket Type1,27
FDB23,19.2,2,0.005588601,10,225.5062,OUT046,1,Tier 1,Supermarket Type1,27
FDU35,6.44,1,0.079538056,9,99.47,OUT018,2,Tier 3,Supermarket Type2,15
NCT29,12.6,1,0.064057374,2,122.1414,OUT013,3,Tier 3,Supermarket Type1,37
FDZ27,7.935,1,0.017156262,6,48.135,OUT046,1,Tier 1,Supermarket Type1,27
FDA03,18.5,2,0.045648973,6,145.6102,OUT018,2,Tier 3,Supermarket Type2,15
NCU05,11.8,1,0.058687359,2,81.1618,OUT013,3,Tier 3,Supermarket Type1,37
FDT39,6.26,2,0.009908113,7,151.1366,OUT018,2,Tier 3,Supermarket Type2,15
FDG12,6.635,2,0.006326106,5,122.1098,OUT046,1,Tier 1,Supermarket Type1,27
FDM22,14.0,2,0.042022999,1,53.064,OUT049,2,Tier 1,Supermarket Type1,25
FDU14,17.75,1,0.0,6,249.775,OUT018,2,Tier 3,Supermarket Type2,15
FDP27,8.155,1,0.119450639,7,190.653,OUT046,1,Tier 1,Supermarket Type1,27
FDO27,6.175,2,0.179043614,7,95.3752,OUT035,1,Tier 2,Supermarket Type1,20
FDS28,8.18,2,0.082401592,4,55.9588,OUT046,1,Tier 1,Supermarket Type1,27
